underlying,ticker,vencimento,dias_uteis,fm,mod,strike,ai_otm,dist_perc_strike,ultimo,var_perc,data_hora,num_neg,vol_financeiro,vol_impl_perc,delta,gamma,theta_dolar,theta_perc,vega,iq,coberto,travado,descoberto,titulares,lancadores,earnings_yield_ttm,pe_ttm,Status_Moneyness,%_Alta_p_2x,Status_2x,Status_Liquidez,Status_Theta,moneyness_score,liquidez_score,dobro_score,theta_score,score_total
BBDC4,BBDCL206,18/12/2026,269,,E,"20,59",OTM,"+5,75","2,00","+21,21",11/11/2025,1,"800,00","5,5","0,9725","0,0571","-0,0102","-0,51","1,2843","0,38",222.800,0,400,3,8,,,5-15% OTM (aposta),"10,6",Dobra com até 20% no ativo,Baixa,Theta médio,1,0,2,0,3
BBDC4,BBDCK208,19/11/2026,249,,E,"20,63",OTM,"+5,96","2,20","+20,21",29/10/2025,2,"445,00","23,4","0,6277","0,0856","-0,0088","-0,40","7,1596","0,75",137.100,100,200,3,4,,,5-15% OTM (aposta),"18,0",Dobra com até 20% no ativo,Baixa,Theta baixo,1,0,2,1,4
BBDC4,BBDCL211,18/12/2026,269,,E,"21,09",OTM,"+8,32","2,72","+23,07",11/11/2025,1,"272,00","23,7","0,6781","0,0746","-0,0094","-0,35","7,2720","1,00",5.600,20.200,200,3,3,,,5-15% OTM (aposta),"20,6",Dobra com 20-40% no ativo,Baixa,Theta baixo,1,0,1,1,3
BBDC4,BBDCK213,19/11/2026,249,,E,"21,13",OTM,"+8,53","1,54","+0,65",29/09/2025,1,"18.480,00","21,7","0,5248","0,0968","-0,0075","-0,49","7,5536","0,23",210.000,100,0,3,13,,,5-15% OTM (aposta),"15,1",Dobra com até 20% no ativo,Média,Theta baixo,1,1,2,1,5
BBDC4,BBDCL216,18/12/2026,269,,E,"21,59",OTM,"+10,89","1,54","0,00",31/10/2025,1,"78.540,00","21,5","0,5248","0,0970","-0,0076","-0,49","7,5884","0,40",98.000,0,0,2,5,,,5-15% OTM (aposta),"15,1",Dobra com até 20% no ativo,Alta,Theta baixo,1,2,2,1,6
BBDC4,BBDCF223,18/06/2027,390,,E,"22,03",OTM,"+13,15","3,04","+10,94",11/11/2025,4,"2.727,00","19,9","0,7173","0,0698","-0,0086","-0,28","8,2418","0,75",1.500,0,1.400,3,4,,,5-15% OTM (aposta),"21,8",Dobra com 20-40% no ativo,Baixa,Theta baixo,1,0,1,1,3
BBDC4,BBDCL6,18/12/2026,269,,E,"22,09",OTM,"+13,46","1,56",,04/11/2025,1,"13.260,00","22,1","0,5166","0,0933","-0,0078","-0,50","7,7032","1,00",1.700,0,6.800,1,1,,,5-15% OTM (aposta),"15,5",Dobra com até 20% no ativo,Média,Theta médio,1,1,2,0,4
BBDC4,BBDCL224,18/12/2026,269,,E,"22,59",OTM,"+16,02","1,60","+1,91",14/11/2025,1,"48.000,00","17,9","0,5725","0,1082","-0,0083","-0,52","7,9434","0,33",45.100,0,6.500,1,3,,,15-20% OTM,"14,4",Dobra com até 20% no ativo,Média,Theta médio,0,1,2,0,3
BBDC4,BBDCL231,18/12/2026,269,,E,"23,09",OTM,"+18,59","1,80","+2,27",12/11/2025,1,"180,00","23,2","0,5347","0,0846","-0,0086","-0,48","8,0434","0,60",32.700,100,30.100,3,5,,,15-20% OTM,"17,3",Dobra com até 20% no ativo,Baixa,Theta baixo,0,0,2,1,3
BBDC4,BBDCB249,19/02/2027,308,,E,"24,11",OTM,"+23,83","1,27","-6,61",07/11/2025,8,"2.132,00","21,9","0,4284","0,0863","-0,0068","-0,54","8,1362","1,00",25.000,0,12.300,10,10,,,20%+ OTM (loteria),"15,2",Dobra com até 20% no ativo,Média,Theta médio,0,1,2,0,3
BBDC4,BBDCB299,19/02/2027,308,,E,"29,11",OTM,"+49,51","0,67","0,00",14/11/2025,1,"67,00","23,7","0,2097","0,0576","-0,0043","-0,64","6,0802","3,00",0,0,30.400,9,3,,,20%+ OTM (loteria),"16,4",Dobra com até 20% no ativo,Baixa,Theta médio,0,0,2,0,2
BBSE3,BBSEK334,19/11/2027,496,,E,"33,45",ATM,"-1,01",,,,,,,,,,,,,,,,,,,,0-5% OTM (colada),,,,,2,0,0,0,2
BEEF3,BEEFK511,19/11/2026,249,,E,"5,11",ITM,"-21,75","1,85","-13,95",07/11/2025,2,"377,00","31,9","0,8828","0,1002","-0,0029","-0,16","1,2093","1,00",0,0,200,1,1,,,ITM,"32,1",Dobra com 20-40% no ativo,Baixa,Theta baixo,0,0,1,1,2
BEEF3,BEEFL511,18/12/2026,269,,E,"5,11",ITM,"-21,75",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BEEF3,BEEFA51,15/01/2027,285,,E,"5,11",ITM,"-21,75",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BEEF3,BEEFK531,19/11/2026,249,,E,"5,31",ITM,"-18,68",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BEEF3,BEEFL531,18/12/2026,269,,E,"5,31",ITM,"-18,68",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BEEF3,BEEFA53,15/01/2027,285,,E,"5,31",ITM,"-18,68",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BEEF3,BEEFK551,19/11/2026,249,,E,"5,51",ITM,"-15,62",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BEEF3,BEEFL55,18/12/2026,269,,E,"5,51",ITM,"-15,62",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BEEF3,BEEFA55,15/01/2027,285,,E,"5,51",ITM,"-15,62",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BEEF3,BEEFK571,19/11/2026,249,,E,"5,71",ITM,"-12,56",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BEEF3,BEEFL57,18/12/2026,269,,E,"5,71",ITM,"-12,56",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BEEF3,BEEFA57,15/01/2027,285,,E,"5,71",ITM,"-12,56",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BEEF3,BEEFK591,19/11/2026,249,,E,"5,91",ITM,"-9,49",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BEEF3,BEEFL59,18/12/2026,269,,E,"5,91",ITM,"-9,49",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BEEF3,BEEFA59,15/01/2027,285,,E,"5,91",ITM,"-9,49",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BEEF3,BEEFK611,19/11/2026,249,,E,"6,11",ITM,"-6,43",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BEEF3,BEEFL611,18/12/2026,269,,E,"6,11",ITM,"-6,43",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BEEF3,BEEFA61,15/01/2027,285,,E,"6,11",ITM,"-6,43",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BEEF3,BEEFK631,19/11/2026,249,,E,"6,31",ITM,"-3,37",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BEEF3,BEEFL63,18/12/2026,269,,E,"6,31",ITM,"-3,37",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BEEF3,BEEFA63,15/01/2027,285,,E,"6,31",ITM,"-3,37",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BEEF3,BEEFK651,19/11/2026,249,,E,"6,51",ATM,"-0,31",,,,,,,,,,,,,,,,,,,,0-5% OTM (colada),,,,,2,0,0,0,2
BEEF3,BEEFL65,18/12/2026,269,,E,"6,51",ATM,"-0,31",,,,,,,,,,,,,,,,,,,,0-5% OTM (colada),,,,,2,0,0,0,2
BEEF3,BEEFA65,15/01/2027,285,,E,"6,51",ATM,"-0,31",,,,,,,,,,,,,,,,,,,,0-5% OTM (colada),,,,,2,0,0,0,2
BEEF3,BEEFK671,19/11/2026,249,,E,"6,71",OTM,"+2,76",,,,,,,,,,,,,,,,,,,,0-5% OTM (colada),,,,,2,0,0,0,2
BEEF3,BEEFL67,18/12/2026,269,,E,"6,71",OTM,"+2,76",,,,,,,,,,,,,,,,,,,,0-5% OTM (colada),,,,,2,0,0,0,2
BEEF3,BEEFA67,15/01/2027,285,,E,"6,71",OTM,"+2,76",,,,,,,,,,,,,,,,,,,,0-5% OTM (colada),,,,,2,0,0,0,2
BEEF3,BEEFK691,19/11/2026,249,,E,"6,91",OTM,"+5,82",,,,,,,,,,,,,,,,,,,,5-15% OTM (aposta),,,,,1,0,0,0,1
BEEF3,BEEFL69,18/12/2026,269,,E,"6,91",OTM,"+5,82",,,,,,,,,,,,,,,,,,,,5-15% OTM (aposta),,,,,1,0,0,0,1
BEEF3,BEEFA69,15/01/2027,285,,E,"6,91",OTM,"+5,82",,,,,,,,,,,,,,,,,,,,5-15% OTM (aposta),,,,,1,0,0,0,1
BEEF3,BEEFI695,17/09/2027,454,,E,"6,95",OTM,"+6,43","1,90","-11,62",07/11/2025,4,"209.469,00","47,6","0,7096","0,0868","-0,0029","-0,15","2,8369","2,50",0,0,600,5,2,,,5-15% OTM (aposta),"41,0",Precisa de 40%+ no ativo,Alta,Theta baixo,1,2,0,1,4
BEEF3,BEEFK711,19/11/2026,249,,E,"7,11",OTM,"+8,88",,,,,,,,,,,,,,,,,,,,5-15% OTM (aposta),,,,,1,0,0,0,1
BEEF3,BEEFL71,18/12/2026,269,,E,"7,11",OTM,"+8,88",,,,,,,,,,,,,,,,,,,,5-15% OTM (aposta),,,,,1,0,0,0,1
BEEF3,BEEFA71,15/01/2027,285,,E,"7,11",OTM,"+8,88",,,,,,,,,,,,,,,,,,,,5-15% OTM (aposta),,,,,1,0,0,0,1
BEEF3,BEEFK731,19/11/2026,249,,E,"7,31",OTM,"+11,94",,,,,,,,,,,,,,,,,,,,5-15% OTM (aposta),,,,,1,0,0,0,1
BEEF3,BEEFL73,18/12/2026,269,,E,"7,31",OTM,"+11,94",,,,,,,,,,,,,,,,,,,,5-15% OTM (aposta),,,,,1,0,0,0,1
BEEF3,BEEFA73,15/01/2027,285,,E,"7,31",OTM,"+11,94",,,,,,,,,,,,,,,,,,,,5-15% OTM (aposta),,,,,1,0,0,0,1
BEEF3,BEEFK751,19/11/2026,249,,E,"7,51",OTM,"+15,01",,,,,,,,,,,,,,,,,,,,15-20% OTM,,,,,0,0,0,0,0
BEEF3,BEEFL75,18/12/2026,269,,E,"7,51",OTM,"+15,01",,,,,,,,,,,,,,,,,,,,15-20% OTM,,,,,0,0,0,0,0
BEEF3,BEEFA75,15/01/2027,285,,E,"7,51",OTM,"+15,01",,,,,,,,,,,,,,,,,,,,15-20% OTM,,,,,0,0,0,0,0
BEEF3,BEEFK771,19/11/2026,249,,E,"7,71",OTM,"+18,07",,,,,,,,,,,,,,,,,,,,15-20% OTM,,,,,0,0,0,0,0
BEEF3,BEEFL77,18/12/2026,269,,E,"7,71",OTM,"+18,07",,,,,,,,,,,,,,,,,,,,15-20% OTM,,,,,0,0,0,0,0
BEEF3,BEEFA77,15/01/2027,285,,E,"7,71",OTM,"+18,07",,,,,,,,,,,,,,,,,,,,15-20% OTM,,,,,0,0,0,0,0
BEEF3,BEEFK791,19/11/2026,249,,E,"7,91",OTM,"+21,13",,,,,,,,,,,,,,,,,,,,20%+ OTM (loteria),,,,,0,0,0,0,0
BEEF3,BEEFL79,18/12/2026,269,,E,"7,91",OTM,"+21,13","0,74",,10/11/2025,2,"153,00","36,6","0,4921","0,1684","-0,0031","-0,42","2,5787","1,00",0,0,100,1,1,,,20%+ OTM (loteria),"23,0",Dobra com 20-40% no ativo,Baixa,Theta baixo,0,0,1,1,2
BEEF3,BEEFA79,15/01/2027,285,,E,"7,91",OTM,"+21,13",,,,,,,,,,,,,,,,,,,,20%+ OTM (loteria),,,,,0,0,0,0,0
BMGB4,BMGBG382,16/07/2027,410,,E,"3,74",ITM,"-11,16","1,15","+8,49",14/11/2025,1,"345,00",,,,,,,"1,50",2.200,0,1.600,6,4,,,ITM,,,Baixa,,0,0,0,0,0
BMGB4,BMGBB530,19/02/2027,308,,E,"5,04",OTM,"+19,72","0,25","+66,66",05/11/2025,2,"3.225,00","17,0","0,4665","0,5098","-0,0015","-0,60","1,8252","2,50",200,700,0,5,2,,,15-20% OTM,"12,7",Dobra com até 20% no ativo,Baixa,Theta médio,0,0,2,0,2
BMGB4,BMGBK650,19/11/2026,249,,E,"6,24",OTM,"+48,22",,,,,,,,,,,,,,,,,,,,20%+ OTM (loteria),,,,,0,0,0,0,0
BMGB4,BMGBL650,18/12/2026,269,,E,"6,24",OTM,"+48,22",,,,,,,,,,,,,,,,,,,,20%+ OTM (loteria),,,,,0,0,0,0,0
BMGB4,BMGBA650,15/01/2027,285,,E,"6,24",OTM,"+48,22",,,,,,,,,,,,,,,,,,,,20%+ OTM (loteria),,,,,0,0,0,0,0
BMGB4,BMGBB650,19/02/2027,308,,E,"6,24",OTM,"+48,22","0,21",,14/11/2025,1,"2.100,00","26,8","0,3024","0,2758","-0,0014","-0,67","1,6461","1,00",0,1.500,8.500,1,1,,,20%+ OTM (loteria),"16,5",Dobra com até 20% no ativo,Baixa,Theta médio,0,0,2,0,2
BMGB4,BMGBK750,19/11/2026,249,,E,"7,24",OTM,"+71,97","0,13",,25/02/2025,2,"140,00","30,7","0,1839","0,1725","-0,0008","-0,62","1,3371","1,00",0,0,1.100,1,1,,,20%+ OTM (loteria),"16,8",Dobra com até 20% no ativo,Baixa,Theta médio,0,0,2,0,2
BMGB4,BMGBL750,18/12/2026,269,,E,"7,24",OTM,"+71,97",,,,,,,,,,,,,,,,,,,,20%+ OTM (loteria),,,,,0,0,0,0,0
BMGB4,BMGBA750,15/01/2027,285,,E,"7,24",OTM,"+71,97","0,05","+400,00",16/09/2025,1,"445,00","26,6","0,1005","0,1489","-0,0005","-1,00","0,7851","1,00",9.000,0,0,2,2,,,20%+ OTM (loteria),"11,8",Dobra com até 20% no ativo,Baixa,Theta alto,0,0,2,0,2
BMGB4,BMGBB750,19/02/2027,308,,E,"7,24",OTM,"+71,97",,,,,,,,,,,,,,,,,,,,20%+ OTM (loteria),,,,,0,0,0,0,0
BOVA11,BOVAD800,16/04/2027,347,,E,"80,00",ITM,"-48,17","79,69","+3,49",07/11/2025,1,"2.789,15",,"1,0000","0,0000","-0,0386","-0,05","0,0000","3,00",0,223,377,3,1,,,ITM,"51,6",Precisa de 40%+ no ativo,Baixa,Theta baixo,0,0,0,1,1
BOVA11,BOVAI80,17/09/2027,454,,E,"80,00",ITM,"-48,17","85,80","-0,23",14/11/2025,1,"8.322,60",,"1,0000","0,0000","-0,0363","-0,04","0,0000","0,70",0,40.027,1.577,7,10,,,ITM,"55,6",Precisa de 40%+ no ativo,Média,Theta baixo,0,1,0,1,2
BOVA11,BOVAI120,17/09/2027,454,,E,"120,00",ITM,"-22,25","43,65","-0,22",17/10/2025,15,"654,65",,,,,,,"1,00",0,42,0,2,2,,,ITM,,,Média,,0,1,0,0,1
BOVA11,BOVAG121,16/07/2027,410,,E,"121,00",ITM,"-21,60",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BOVA11,BOVAI122,17/09/2027,454,,E,"122,00",ITM,"-20,95","45,20",,20/10/2025,1,"226,00",,,,,,,"1,00",0,5,0,1,1,,,ITM,,,Baixa,,0,0,0,0,0
BOVA11,BOVAG123,16/07/2027,410,,E,"123,00",ITM,"-20,31",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BOVA11,BOVAI9,17/09/2027,454,,E,"124,00",ITM,"-19,66","45,10",,24/10/2025,1,"225,50",,,,,,,"1,00",0,5,0,1,1,,,ITM,,,Baixa,,0,0,0,0,0
BOVA11,BOVAC12,19/03/2027,328,,E,"125,00",ITM,"-19,01",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BOVA11,BOVAG12,16/07/2027,410,,E,"125,00",ITM,"-19,01",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BOVA11,BOVAI13,17/09/2027,454,,E,"126,00",ITM,"-18,36","45,24",,29/10/2025,1,"226,20",,,,,,,"1,00",0,5,0,1,1,,,ITM,,,Baixa,,0,0,0,0,0
BOVA11,BOVAG127,16/07/2027,410,,E,"127,00",ITM,"-17,71",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BOVA11,BOVAI15,17/09/2027,454,,E,"128,00",ITM,"-17,07","44,90",,05/11/2025,1,"224,50",,,,,,,"1,00",0,5,0,1,1,,,ITM,,,Baixa,,0,0,0,0,0
BOVA11,BOVAG129,16/07/2027,410,,E,"129,00",ITM,"-16,42",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BOVA11,BOVAA2,15/01/2027,285,,E,"130,00",ITM,"-15,77",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BOVA11,BOVAB3,19/02/2027,308,,E,"130,00",ITM,"-15,77",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BOVA11,BOVAI17,17/09/2027,454,,E,"130,00",ITM,"-15,77","46,17","+1,76",06/11/2025,1,"230,85",,,,,,,"1,00",0,19,0,2,2,,,ITM,,,Baixa,,0,0,0,0,0
BOVA11,BOVAK45,19/11/2027,496,,E,"130,00",ITM,"-15,77",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BOVA11,BOVAG13,16/07/2027,410,,E,"131,00",ITM,"-15,12",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BOVA11,BOVAI132,17/09/2027,454,,E,"132,00",ITM,"-14,47",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BOVA11,BOVAK47,19/11/2027,496,,E,"132,00",ITM,"-14,47",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BOVA11,BOVAG2,16/07/2027,410,,E,"133,00",ITM,"-13,83",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BOVA11,BOVAI134,17/09/2027,454,,E,"134,00",ITM,"-13,18","45,69","+2,05",11/11/2025,1,"228,45",,,,,,,"0,50",0,10,0,1,2,,,ITM,,,Baixa,,0,0,0,0,0
BOVA11,BOVAK49,19/11/2027,496,,E,"134,00",ITM,"-13,18",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BOVA11,BOVAC13,19/03/2027,328,,E,"135,00",ITM,"-12,53","40,00",,14/11/2025,1,"2.000,00",,,,,,,"1,00",0,50,0,1,1,,,ITM,,,Baixa,,0,0,0,0,0
BOVA11,BOVAF13,18/06/2027,390,,E,"135,00",ITM,"-12,53",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BOVA11,BOVAG4,16/07/2027,410,,E,"135,00",ITM,"-12,53",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BOVA11,BOVAI136,17/09/2027,454,,E,"136,00",ITM,"-11,88",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BOVA11,BOVAK52,19/11/2027,496,,E,"136,00",ITM,"-11,88",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BOVA11,BOVAG6,16/07/2027,410,,E,"137,00",ITM,"-11,23",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BOVA11,BOVAI138,17/09/2027,454,,E,"138,00",ITM,"-10,59",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BOVA11,BOVAK54,19/11/2027,496,,E,"138,00",ITM,"-10,59",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BOVA11,BOVAG8,16/07/2027,410,,E,"139,00",ITM,"-9,94",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BOVA11,BOVAA14,15/01/2027,285,,E,"140,00",ITM,"-9,29","23,59",,09/10/2025,1,"23,59","13,3","0,9869","0,0022","-0,0696","-0,30","5,3509","1,00",0,0,1,1,1,,,ITM,"15,5",Dobra com até 20% no ativo,Baixa,Theta baixo,0,0,2,1,3
BOVA11,BOVAB14,19/02/2027,308,,E,"140,00",ITM,"-9,29",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BOVA11,BOVAI19,17/09/2027,454,,E,"140,00",ITM,"-9,29","32,20","+1,89",28/10/2025,6,"191,70",,"0,9745","0,0029","-0,0618","-0,19","11,3156","1,25",0,339,42,5,4,,,ITM,"21,4",Dobra com 20-40% no ativo,Média,Theta baixo,0,1,1,1,3
BOVA11,BOVAK57,19/11/2027,496,,E,"140,00",ITM,"-9,29",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BOVA11,BOVAG141,16/07/2027,410,,E,"141,00",ITM,"-8,64",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BOVA11,BOVAI21,17/09/2027,454,,E,"142,00",ITM,"-8,00","34,50","+7,98",05/11/2025,1,"13.800,00",,,,,,,"1,00",0,400,0,1,1,,,ITM,,,Média,,0,1,0,0,1
BOVA11,BOVAK59,19/11/2027,496,,E,"142,00",ITM,"-8,00",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BOVA11,BOVAG9,16/07/2027,410,,E,"143,00",ITM,"-7,35",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BOVA11,BOVAI23,17/09/2027,454,,E,"144,00",ITM,"-6,70",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BOVA11,BOVAK61,19/11/2027,496,,E,"144,00",ITM,"-6,70",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BOVA11,BOVAG11,16/07/2027,410,,E,"145,00",ITM,"-6,05",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BOVA11,BOVAI25,17/09/2027,454,,E,"146,00",ITM,"-5,40","32,50","+5,07",04/11/2025,1,"16.250,00",,,,,,,,,,,,,,,ITM,,,Média,,0,1,0,0,1
BOVA11,BOVAK63,19/11/2027,496,,E,"146,00",ITM,"-5,40",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BOVA11,BOVAG16,16/07/2027,410,,E,"147,00",ITM,"-4,76",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BOVA11,BOVAI27,17/09/2027,454,,E,"148,00",ITM,"-4,11",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BOVA11,BOVAK65,19/11/2027,496,,E,"148,00",ITM,"-4,11",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BOVA11,BOVAG22,16/07/2027,410,,E,"149,00",ITM,"-3,46",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BOVA11,BOVAD150,16/04/2027,347,,E,"150,00",ITM,"-2,81","24,92","+3,83",04/11/2025,1,"12.460,00",,"0,9600","0,0051","-0,0706","-0,28","15,0905","0,86",0,0,7.758,6,7,,,ITM,"16,8",Dobra com até 20% no ativo,Média,Theta baixo,0,1,2,1,4
BOVA11,BOVAI29,17/09/2027,454,,E,"150,00",ITM,"-2,81","32,00",,07/11/2025,5,"2.085,37",,,,,,,"5,00",0,66,0,5,1,,,ITM,,,Média,,0,1,0,0,1
BOVA11,BOVAK67,19/11/2027,496,,E,"150,00",ITM,"-2,81",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BOVA11,BOVAG24,16/07/2027,410,,E,"151,00",ITM,"-2,16",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BOVA11,BOVAI152,17/09/2027,454,,E,"152,00",ATM,"-1,52",,,,,,,,,,,,,,,,,,,,0-5% OTM (colada),,,,,2,0,0,0,2
BOVA11,BOVAK69,19/11/2027,496,,E,"152,00",ATM,"-1,52",,,,,,,,,,,,,,,,,,,,0-5% OTM (colada),,,,,2,0,0,0,2
BOVA11,BOVAG26,16/07/2027,410,,E,"153,00",ATM,"-0,87",,,,,,,,,,,,,,,,,,,,0-5% OTM (colada),,,,,2,0,0,0,2
BOVA11,BOVAI154,17/09/2027,454,,E,"154,00",ATM,"-0,22",,,,,,,,,,,,,,,,,,,,0-5% OTM (colada),,,,,2,0,0,0,2
BOVA11,BOVAK72,19/11/2027,496,,E,"154,00",ATM,"-0,22","35,19",,14/11/2025,3,"109,69",,,,,,,"1,00",0,3,0,1,1,,,0-5% OTM (colada),,,Baixa,,2,0,0,0,2
BOVA11,BOVAC155,19/03/2027,328,,E,"155,00",ATM,"+0,43","23,28","+29,40",07/11/2025,1,"4.656,00","6,3","0,9314","0,0063","-0,0734","-0,32","23,3097","1,00",0,200,1,2,2,,,0-5% OTM (colada),"16,2",Dobra com até 20% no ativo,Baixa,Theta baixo,2,0,2,1,5
BOVA11,BOVAG28,16/07/2027,410,,E,"155,00",ATM,"+0,43","23,62",,04/11/2025,28,"19.238,37",,"0,9522","0,0042","-0,0704","-0,30","19,6287","3,00",0,157,658,3,1,,,0-5% OTM (colada),"16,1",Dobra com até 20% no ativo,Média,Theta baixo,2,1,2,1,6
BOVA11,BOVAI156,17/09/2027,454,,E,"156,00",ATM,"+1,08","31,30","+1,45",14/11/2025,2,"3.282,50",,"0,9568","0,0037","-0,0691","-0,22","19,0243","0,75",0,0,4.337,3,4,,,0-5% OTM (colada),"21,2",Dobra com 20-40% no ativo,Baixa,Theta baixo,2,0,1,1,4
BOVA11,BOVAK74,19/11/2027,496,,E,"156,00",ATM,"+1,08","32,00",,14/11/2025,6,"304,62",,,,,,,"1,00",0,1,0,1,1,,,0-5% OTM (colada),,,Média,,2,1,0,0,3
BOVA11,BOVAG157,16/07/2027,410,,E,"157,00",ATM,"+1,72",,,,,,,"0,9432","0,0049","-0,0709",,"22,5146",,,,,,,,,0-5% OTM (colada),,,,,2,0,0,0,2
BOVA11,BOVAB2,19/02/2027,308,,E,"158,00",OTM,"+2,37",,,,,,,"0,9021","0,0085","-0,0744",,"29,5368",,,,,,,,,0-5% OTM (colada),,,,,2,0,0,0,2
BOVA11,BOVAD158,16/04/2027,347,,E,"158,00",OTM,"+2,37","16,11","+34,25",20/10/2025,1,"1.611,00","9,2","0,9181","0,0070","-0,0732","-0,45","27,4390","0,50",0,0,323,2,4,,,0-5% OTM (colada),"11,4",Dobra com até 20% no ativo,Baixa,Theta baixo,2,0,2,1,5
BOVA11,BOVAI158,17/09/2027,454,,E,"158,00",OTM,"+2,37",,,,,,,"0,9490","0,0042","-0,0696",,"21,7434",,,,,,,,,0-5% OTM (colada),,,,,2,0,0,0,2
BOVA11,BOVAK76,19/11/2027,496,,E,"158,00",OTM,"+2,37",,,,,,,,,,,,,,,,,,,,0-5% OTM (colada),,,,,2,0,0,0,2
BOVA11,BOVAC159,19/03/2027,328,,E,"159,00",OTM,"+3,02","23,17","+8,77",12/11/2025,3,"1.391.806,00",,"0,9030","0,0082","-0,0738","-0,32","30,2720","0,36",1,0,241.705,4,11,,,0-5% OTM (colada),"16,6",Dobra com até 20% no ativo,Alta,Theta baixo,2,2,2,1,7
BOVA11,BOVAG159,16/07/2027,410,,E,"159,00",OTM,"+3,02",,,,,,,"0,9330","0,0055","-0,0713",,"25,6002",,,,,,,,,0-5% OTM (colada),,,,,2,0,0,0,2
